Order ID,Category,Brand,Model,Quantity,Unit Price,Total Price
6a0881da-804c-4d24-b20e-55ae2cd24e7d,Laptop,Asus,Swift,12,2393.59,28723.08
3adfe639-050a-415d-abf0-c7cf73ab3e7f,Laptop,HP,ThinkPad,15,4961.17,74417.55
4047e265-37ff-4706-b063-f65b4fd9d788,Server,Asus,ProLiant,18,4788.53,86193.54
ad67efcd-47ec-403c-a602-c4f701d2c3eb,Server,Dell,ProLiant,12,4497.81,53973.72
374b633a-7227-472e-8c59-0d089b9387a1,Laptop,Asus,VivoBook,7,2348.62,16440.34
86cca705-2a96-4387-ab3c-d4e4b7969aca,Laptop,Acer,VivoBook,20,1159.51,23190.2
7879d1dc-2004-4d35-adf6-180d5e598f80,Server,Dell,PowerEdge,13,1573.13,20450.69
eb82b879-42d6-4042-9dc8-192b325c7104,Laptop,Acer,ThinkPad,8,4147.44,33179.52
14db3682-aaab-45dd-a258-31ed9763b661,Laptop,Acer,VivoBook,15,4115.04,61725.6
de6d63f8-c3b3-4ebf-b93c-940993fa3585,Peripheral,Dell,Monitor,19,1982.22,37662.18
b9816a5a-492b-4c36-a99c-b516169db71a,Peripheral,Dell,Printer,3,4217.32,12651.96
7d77d1c6-727f-4a5e-9a48-449fb962d0cd,Laptop,Acer,Pavilion,5,3144.56,15722.8
0fc18e6f-6b72-4b4d-90a0-b39f90024ea3,Server,HP,Altos,18,2965.43,53377.74
e61af784-b235-4195-ad27-76f2239d632c,Laptop,HP,ThinkPad,3,747.47,2242.41
73cf71c9-e672-481e-8e33-b52e47456fc9,Laptop,Asus,Swift,8,2599.4,20795.2
aedf6fa4-00b7-44c9-bbda-f82bc5cc38ef,Server,Dell,PowerEdge,13,1484.62,19300.06
071bac2a-3f74-481d-bd0a-765e5582d475,Peripheral,Acer,Monitor,16,2947.88,47166.08
c19f7d42-4d92-497e-9f6b-68c005be5141,Peripheral,Dell,Mouse,9,4193.57,37742.13
327fe698-b804-4bff-ac7f-54d2cdc4f87d,Laptop,HP,Pavilion,9,2988.38,26895.42
34635237-f3d9-4559-b837-fef378362802,Server,HP,ThinkSystem,11,3485.6,38341.6
4e62d83c-e15e-4a9d-a97e-7ea763b68622,Peripheral,Asus,Keyboard,11,3243.91,35683.01
949131e8-e7d2-4e5f-9947-2bf8367929ef,Peripheral,Acer,Printer,7,3135.83,21950.81
b916aafd-c88d-4a56-b08a-b7ccf01d3e29,Laptop,HP,Inspiron,2,3519.56,7039.12
5570366e-3465-49e0-8a6d-da74e107826c,Server,Asus,PowerEdge,10,939.32,9393.2
eca2eeda-501b-445a-a2d6-b7a0af0c45d7,Peripheral,Dell,Monitor,12,1662.3,19947.6
5e512d78-78f4-43b1-9d2d-f50f216e4beb,Peripheral,Lenovo,Printer,4,4138.38,16553.52
18c45bfb-b689-4ef4-8834-287fe3ff415a,Laptop,HP,Swift,7,389.01,2723.07
0a219260-b67b-4928-b9fb-8c7323185bda,Peripheral,Asus,Mouse,11,1992.82,21921.02
471d7710-304b-4ab2-b65a-a9a49989393f,Laptop,Lenovo,VivoBook,10,265.86,2658.6
961eb956-31ee-47c8-a2de-dfe7dde474d3,Server,HP,ThinkSystem,11,477.14,5248.54
b4d3ecd1-d015-4269-b5ad-17012d77f1b1,Laptop,Dell,Swift,18,4479.34,80628.12
db7fdabe-e242-4033-bd38-03947ff059be,Server,Asus,ESC,15,187.98,2819.7
c3f43e36-3b68-470f-affc-b04ae4adb232,Laptop,Asus,ThinkPad,15,508.89,7633.35
